variable,missing_n,missing_pct,count,mean,std,min,25%,50%,75%,max
ID,0,0.0,204.0,237.15686274509804,136.14971078108897,1.0,121.0,238.5,357.25,474.0
cohort,0,0.0,204.0,4.86274528503418,1.6251662969589233,2.0,4.0,5.0,6.0,7.0
trt,204,100.0,0.0,,,,,,,
registered,204,100.0,0.0,,,,,,,
activated,204,100.0,0.0,,,,,,,
totalmins,0,0.0,204.0,155.04803921568626,334.95520267833075,0.0,6.495833333333334,43.8,142.01666666666668,2648.316666666667
logindays,62,30.39,142.0,8.570422535211268,14.125776392306584,0.0,1.0,3.0,12.75,96.0
loginwks,1,0.49,203.0,4.261083743842365,4.334504985941334,0.0,1.0,3.0,6.5,19.0
pageviews,1,0.49,203.0,235.57635467980296,388.0159839421139,0.0,9.0,101.0,301.5,3198.0
posts,1,0.49,203.0,1.9852216748768472,4.716180104422398,0.0,0.0,0.0,2.0,30.0
ptp,0,0.0,204.0,0.843137264251709,2.3161251544952393,0.0,0.0,0.0,0.0,17.0
ate,0,0.0,204.0,1.1421568393707275,2.9385170936584473,0.0,0.0,0.0,0.0,21.0
totaldays,1,0.49,203.0,57.467979431152344,46.10514831542969,0.0,13.5,54.0,107.0,126.0
act_wkpv,1,0.49,203.0,4.236453056335449,4.26745080947876,0.0,1.0,3.0,6.0,18.0
dur_wkpv,1,0.49,203.0,7.211822509765625,6.461576461791992,0.0,1.0,6.0,14.0,18.0
act_ptp,0,0.0,204.0,0.4950980246067047,1.189019799232483,0.0,0.0,0.0,0.0,8.0
dur_ptp,0,0.0,204.0,1.0147058963775635,3.1191115379333496,0.0,0.0,0.0,0.0,17.0
act_ate,0,0.0,204.0,0.6225489974021912,1.4279699325561523,0.0,0.0,0.0,0.0,9.0
dur_ate,0,0.0,204.0,1.2941176891326904,3.4529590606689453,0.0,0.0,0.0,0.0,17.0
sdwkpv,0,0.0,204.0,24.889013290405273,32.59967803955078,0.0,1.8856180906295776,16.13104248046875,34.30929756164551,272.0391540527344
sdptp,0,0.0,204.0,0.12504638731479645,0.31259483098983765,0.0,0.0,0.0,0.0,2.1205499172210693
sdate,0,0.0,204.0,0.1617407500743866,0.383712500333786,0.0,0.0,0.0,0.0,2.8284270763397217
rate_wkpv,1,0.49,203.0,0.5839322209358215,0.35493314266204834,0.0,0.3333333432674408,0.6363636255264282,1.0,1.0
rate_ptp,0,0.0,204.0,0.16583412885665894,0.3501523733139038,0.0,0.0,0.0,0.0,1.0
rate_ate,0,0.0,204.0,0.17200802266597748,0.3424062728881836,0.0,0.0,0.0,0.0,1.0
